lat,long,number
36.63889604,127.2895755,0
36.63913381,127.2893291,0
36.63919665,127.289264,0
36.63937662,127.2890339,0
36.63944607,127.2889054,0
36.63957021,127.2886396,0
36.63965116,127.2884167,0
36.63967253,127.2882898,0
36.63970192,127.2881188,0
36.63969958,127.2878494,0
36.63969828,127.2877537,0
36.63969655,127.287612,0
36.63969342,127.2873316,0
36.63967167,127.287188,0
36.63965354,127.2870678,0
36.63962474,127.2869279,0
36.63956539,127.2866339,0
36.63954634,127.2865376,0
36.63945802,127.2863046,0
36.63939416,127.286207,0
36.63932594,127.2861008,0
36.63920477,127.285899,0
36.63915265,127.2858102,0
36.63907625,127.2856793,0
36.63894379,127.2854494,0
36.63884439,127.2852781,0
36.63882269,127.2852409,0
36.63883308,127.2852155,0
36.63888011,127.2851006,0
36.6388861,127.2850857,0
36.6387096,127.2849219,0
36.63868687,127.284901,0
36.63863461,127.284853,0
36.63842651,127.2846828,0
36.63834404,127.2846153,0
36.63825848,127.2845453,0
36.63816694,127.2844653,0
36.63801313,127.2843326,0
36.63801242,127.284332,0
36.63798034,127.2843044,0
36.63792651,127.2842583,0
36.63783033,127.2841756,0
36.63767175,127.2840382,0
36.63751006,127.2838989,0
36.63747062,127.283865,0
36.63739014,127.283863,0
36.63722043,127.2838584,0
36.6372073,127.2838581,0
36.63718378,127.2838574,0
36.63716715,127.2838569,0
36.63705715,127.2837711,0
36.63704346,127.2837696,0
36.63694253,127.2837564,0
36.63676909,127.2835906,0
36.6366578,127.2834235,0
36.63661594,127.2833252,0
36.63656279,127.2831401,0
36.63653488,127.2829749,0
36.63653167,127.2828736,0
36.63656539,127.2828662,0
36.63675701,127.2828242,0
36.63677676,127.2828199,0
36.63687271,127.2827995,0
36.63689516,127.2827947,0
36.63695049,127.2827828,0
36.63699419,127.2822863,0
36.63710565,127.2818149,0
36.63725468,127.2812697,0
36.63729199,127.2808048,0
36.63730813,127.2806358,0
36.63736016,127.2801375,0
36.63728175,127.279517,0
36.63722779,127.2791487,0
36.63720585,127.2789913,0
36.63714851,127.2786814,0
36.63706376,127.2787061,0
36.63700076,127.2785057,0
36.63696888,127.278398,0
36.6369212,127.278262,0
36.63689299,127.2781784,0
36.63688639,127.2781588,0
36.63687988,127.2781426,0
36.63688014,127.278142,0
36.63695433,127.2779244,0
36.63695481,127.2779226,0
36.63697864,127.2778465,0
36.63691735,127.2778119,0
36.63692422,127.2777491,0
36.63682375,127.2776656,0
36.63673107,127.277825,0
36.63670628,127.2777906,0
36.63668949,127.2777479,0
36.6366887,127.2777463,0
36.63668771,127.2777449,0
36.63668652,127.2777437,0
